Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_666.jpg,0,1,0,0.5566605,99.82376,85.74633,1.156299,45.87926,0.00113124
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_733.jpg,0,1,0,0.5967323,99.8591,85.78252,1.251814,45.70223,-0.0001001822
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_799.jpg,0,1,0,0.6470748,99.88654,85.81062,1.223479,45.65757,-0.00142159
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_865.jpg,0,1,0,0.7151946,99.916,85.84074,1.183077,45.64147,-0.0001420502
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_13_933.jpg,0,1,0,0.7739776,99.9595,85.88496,1.193011,45.71181,-0.001001827
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_000.jpg,0,1,0,0.8257137,99.99487,85.92097,1.211524,45.67718,-1.550479E-05
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_067.jpg,0,1,0,0.8913709,100.0323,85.95906,1.223888,45.66072,-0.0007974731
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_133.jpg,0,1,0,0.9335619,100.0854,86.01294,1.223159,45.65862,-0.0008127909
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_200.jpg,0,1,0,0.9881045,100.1274,86.0556,1.212388,45.67382,-0.001293837
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_265.jpg,0,1,0,1.046036,100.1715,86.10046,1.218494,45.69061,-0.0007475143
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_334.jpg,0,1,0,1.096035,100.2336,86.16356,1.228944,45.68403,-0.0007409258
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_399.jpg,0,1,0,1.142708,100.2822,86.21298,1.222204,45.66257,-0.0006317761
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_467.jpg,0,1,0,1.202257,100.3329,86.26443,1.225416,45.62907,-0.0007267542
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_534.jpg,0,1,0,1.249472,100.4036,86.33617,1.231888,45.59273,-0.0009198869
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_600.jpg,0,1,0,1.298638,100.459,86.39232,1.235786,45.56491,-0.0008520242
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_667.jpg,0,1,0,1.359974,100.5164,86.45045,1.238789,45.54284,-0.000894617
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_732.jpg,0,1,0,1.407228,100.5962,86.53111,1.246383,45.51574,-0.0009015847
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_801.jpg,0,1,0,1.454148,100.6583,86.59386,1.249235,45.50247,-0.0009183183
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_867.jpg,0,1,0,1.517918,100.7225,86.65865,1.25383,45.48875,-0.0009235506
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_14_933.jpg,0,1,0,1.563475,100.8111,86.74802,1.257534,45.47611,-0.0009608867
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_001.jpg,0,1,0,1.610774,100.8798,86.81741,1.262658,45.46346,-0.0009709763
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_066.jpg,0,1,0,1.672364,100.9505,86.88869,1.265301,45.45363,-0.0009947553
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_134.jpg,0,1,0,1.71764,101.0479,86.98684,1.272872,45.43729,-0.001016909
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_200.jpg,0,1,0,1.763398,101.1232,87.06267,1.276692,45.42805,-0.001049015
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_267.jpg,0,1,0,1.824376,101.2004,87.14042,1.279659,45.41607,-0.001037327
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_333.jpg,0,1,0,1.869787,101.3065,87.24712,1.28685,45.40083,-0.001068394
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_401.jpg,0,1,0,1.915055,101.3882,87.32937,1.29157,45.38975,-0.00109583
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_467.jpg,0,1,0,1.975933,101.4719,87.41352,1.295576,45.37861,-0.001099248
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_534.jpg,0,1,0,2.020856,101.5865,87.52865,1.301183,45.36354,-0.001130848
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_601.jpg,0,1,0,2.064818,101.6746,87.61718,1.304052,45.35267,-0.001150544
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_666.jpg,0,1,0,2.125028,101.7646,87.70757,1.304297,45.34146,-0.00114905
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_734.jpg,0,1,0,2.169175,101.8876,87.83108,1.311626,45.32782,-0.001203656
/home/baybuntu/Documents/Classes/Udacity/RoboND1/RoboND-Rover-Project/myData/IMG/robocam_2017_06_06_21_16_15_800.jpg,0,1,0,2.213499,101.9821,87.92587,1.316117,45.31527,-0.001212839
